Date,score_raw,bubble_prob,bubble_prob_smooth
2019-01-08,,,
2019-01-22,,,
2019-02-05,,,
2019-02-20,,,
2019-03-07,,,
2019-03-22,,,
2019-04-08,,,
2019-04-24,,,
2019-05-10,,,
2019-05-24,,,
2019-06-10,,,
2019-06-24,,,
2019-07-08,,,
2019-07-22,,,
2019-08-05,,,
2019-08-21,,,
2019-09-05,,,
2019-09-20,,,
2019-10-07,,,
2019-10-23,,,
2019-11-06,,,
2019-11-21,,,
2019-12-05,,,
2019-12-19,,,
2020-01-03,,,
2020-01-17,,,
2020-01-31,,,
2020-02-14,,,
2020-03-02,,,
2020-03-17,,,
2020-03-31,4.856923186972946,,
2020-04-20,2.386845655993015,,
2020-05-05,1.1590643270948773,,
2020-05-19,0.7722484865243449,,
2020-06-03,0.5909490778323903,,
2020-06-17,0.607846441851553,,
2020-07-01,0.35956629625106307,,
2020-07-15,0.5074031751009025,,
2020-07-29,0.750906802898844,,
2020-08-12,0.43759985934115825,,
2020-08-26,0.3355073475078431,0.0,0.0
2020-09-09,0.2821336232071005,0.0,0.0
2020-09-23,0.293583461421033,0.0,0.0
2020-10-08,0.3346345937548542,0.0,0.0
2020-10-22,0.3204181116176106,0.0,0.0
2020-11-05,0.3045231879484422,0.0,0.0
2020-11-19,0.32573601968785826,0.0,0.0
2020-12-04,0.5310459011274027,0.0,0.0
2020-12-18,0.8343878807165837,0.0,0.0
